"Gene","Module"
"Tagln","blue"
"3222401M22Rik","blue"
"Pprc1","blue"
"6330407D12Rik","blue"
"Ier2","blue"
"5730497N03Rik","blue"
"Porcn","blue"
"Aard","blue"
"Pmaip1","blue"
"Myl3","blue"
"Ngef","blue"
"Rgpr","blue"
"2010309E21Rik","blue"
"BC029214","blue"
"2400010G15Rik","blue"
"Stat4","blue"
"Hsd11b1","blue"
"C330006A16Rik","blue"
"2600017H02Rik","blue"
"Slc25a24","blue"
"Tns","blue"
"BC031181","blue"
"6530402N02Rik","blue"
"Zfp307","blue"
"Pou4f1","blue"
"2410003B16Rik","blue"
"Opa1","blue"
"Ash1l","blue"
"Cat","blue"
"Arsa","blue"
"1110001A05Rik","blue"
"Kif22","blue"
"Adpn","blue"
"Ehd2","blue"
"BB049667","blue"
"Tpte","blue"
"Unc5a","blue"
"Gast","blue"
"AW111922","blue"
"Gtl6","blue"
"Gal3st1","blue"
"Npdc1","blue"
"Casp3","blue"
"Golph4","blue"
"Pkdrej","blue"
"Sdcbp2","blue"
"Cacnb1","blue"
"Gpx4","blue"
"Rps6kb2","blue"
"Sh3bp4","blue"
"Gan","blue"
"Tpm3","blue"
"Rtn1","blue"
"2310069N01Rik","blue"
"LOC210583","blue"
"1110012N22Rik","blue"
"Oasl2","blue"
"Hcls1","blue"
"Kitl","blue"
"Centa2","blue"
"Clps","blue"
"Oit1","blue"
"Brodl","blue"
"Hdac10","blue"
"Pdir","blue"
"Pstpip2","blue"
"Tmc1","blue"
"Odz3","blue"
"AA408451","blue"
"Evl","blue"
"1110002B05Rik","blue"
"Ube2e1","blue"
"Zfp462","blue"
"Zfp261","blue"
"4930443G12Rik","blue"
"Insig1","blue"
"Tshr","blue"
"0610011I04Rik","blue"
"Ube2n","blue"
"Ggta1","blue"
"2810027O19Rik","blue"
"Dlat","blue"
"Dock10","blue"
"Grcc3f","blue"
"Hgf","blue"
"9230112O05Rik","blue"
"3100004P22Rik","blue"
"Topbp1","blue"
"BC051083","blue"
"Hap1","blue"
"Alg8","blue"
"Chpt1","blue"
"Tmem5","blue"
"Mnab","blue"
"Dnmt2","blue"
"LOC210321","blue"
"Bsnd","blue"
"Ppia","blue"
"Acas2","blue"
"Ifi203","blue"
"Klhl13","blue"
"Ssxb2","blue"
"Baiap2","blue"
"2810406C15Rik","blue"
"Plec1","blue"
"Cyp4f13","blue"
"Trib1","blue"
"Slc16a9","blue"
"Ropn1","blue"
"Kif11","blue"
"Fbln2","blue"
"Dscr1l2","blue"
"Actc1","blue"
"Sgce","blue"
"Myo5a","blue"
"4930504E06Rik","blue"
"4921513O04","blue"
"Cyp4f15","blue"
"Prss2","blue"
"serpinb3c","blue"
"4932703L02Rik","blue"
"Actg","blue"
"P2ry6","blue"
"Emr1","blue"
"5830472M02Rik","blue"
"0610013E23Rik","blue"
"Eno1","blue"
"Cadps2","blue"
"Mcm3","blue"
"Serpina1d","blue"
"Ttk","blue"
"1700019B16Rik","blue"
"Asgr2","blue"
"Dpyd","blue"
"A430065P05Rik","blue"
"Fxyd1","blue"
"4930511I11Rik","blue"
"1810030N24Rik","blue"
"Myoz2","blue"
"D030051N19Rik","blue"
"Sec23a","blue"
"Col16a1","blue"
"C230043N17Rik","blue"
"Pea15","blue"
"Psmc6","blue"
"Tagln2","blue"
"Rpl29","blue"
"L259","blue"
"Fusip1","blue"
"Slamf8","blue"
"Atp8b2","blue"
"E030025D05Rik","blue"
"Zfp503","blue"
"Anp32b","blue"
"AU020772","blue"
"Tbx6","blue"
"Bmf","blue"
"2700017M01Rik","blue"
"Cyp2c54","blue"
"Tmeff1","blue"
"A230072C01Rik","blue"
"Slc28a2","blue"
"Hdac1","blue"
"Ltf","blue"
"Pfc","blue"
"Rps6ka4","blue"
"Fhit","blue"
"Tnfsf13b","blue"
"Snrpd1","blue"
"Copb1","blue"
"Glrx1","blue"
"Phf13","blue"
"4933435A13Rik","blue"
"Sftpd","blue"
"Apeg1","blue"
"Mefv","blue"
"1700003E16Rik","blue"
"Pdk4","blue"
"4930431B09Rik","blue"
"Ahcy","blue"
"Rad51","blue"
"Khk","blue"
"Tnfrsf12a","blue"
"A430107O13Rik","blue"
"Copa","blue"
"Plaa","blue"
"Pank3","blue"
"Igsf8","blue"
"Ttid","blue"
"2310058J06Rik","blue"
"Carkl","blue"
