"Gene","Module"
"AA589507","blue"
"Lphn1","blue"
"Cbr3","blue"
"Zc3hdc8","blue"
"D6Ertd245e","blue"
"Areg","blue"
"F730047E07Rik","blue"
"Arf1","blue"
"2210404O09Rik","blue"
"1300003B13Rik","blue"
"E130307J04Rik","blue"
"Eps8l2","blue"
"Gngt2","blue"
"Hells","blue"
"Gucy1b3","blue"
"Hist1h1b","blue"
"Dok2","blue"
"BC011468","blue"
"Mrg1","blue"
"Olfr893","blue"
"BC032204","blue"
"Cygb","blue"
"Sdh1","blue"
"Pcdhb17","blue"
"1810013C15Rik","blue"
"4932432K03Rik","blue"
"Dhx9","blue"
"Dusp3","blue"
"Cyp2g1","blue"
"1110055E19Rik","blue"
"Gas2","blue"
"Tbc1d10","blue"
"Orc6l","blue"
"Atp6v1a1","blue"
"Bivm","blue"
"5730469M10Rik","blue"
"MGC59407","blue"
"Ddx41","blue"
"Tgfb1i1","blue"
"Ap2b1","blue"
"BC010552","blue"
"Galnt3","blue"
"Luc7l2","blue"
"2310067E08Rik","blue"
"Mug2","blue"
"Cd72","blue"
"6330503K22Rik","blue"
"Centd1","blue"
"Sat1","blue"
"Tinag","blue"
"Arpc2","blue"
"Elovl6","blue"
"Mpeg1","blue"
"AV312086","blue"
"Tcf21","blue"
"BC004004","blue"
"1810004F21Rik","blue"
"BC062650","blue"
"Slc35a3","blue"
"Tenc1","blue"
"Aco2","blue"
"BC052328","blue"
"Lgmn","blue"
"Cyp4b1","blue"
"Trio","blue"
"2310075C12Rik","blue"
"Cd3g","blue"
"Clcn5","blue"
"Clecsf10","blue"
"Sec14l4","blue"
"Aqp9","blue"
"Lama1","blue"
"3110037K17Rik","blue"
"Ankrd1","blue"
"Copeb","blue"
"AW112010","blue"
"D10Ucla2","blue"
"Nrp2","blue"
"Oxr1","blue"
"Rpl6","blue"
"G6pc2","blue"
"9130209A04Rik","blue"
"Cul4a","blue"
"Gabbr1","blue"
"1110032D12Rik","blue"
"Helb","blue"
"Sprrl3","blue"
"Paox","blue"
"2300002G24Rik","blue"
"Rnf11","blue"
"Fcrl3","blue"
"Tebp","blue"
"Zfp71-rs1","blue"
"Slc9a9","blue"
"D6Ertd32e","blue"
"Racgap1","blue"
"Plekhm1","blue"
"Arf4","blue"
"B4galt6","blue"
"Relb","blue"
"Pigt","blue"
"Dnclc1","blue"
"1700081L11Rik","blue"
"Chm","blue"
"Timeless","blue"
"Thrap3","blue"
"5830443L24Rik","blue"
"Ggt1","blue"
"1200013I08Rik","blue"
"2210010C04Rik","blue"
"Tjp3","blue"
"Klra2","blue"
"Nedd4","blue"
"Sfxn5","blue"
"Trem2","blue"
"Ercc4","blue"
"Ms4a3","blue"
"5730403B10Rik","blue"
"Rasgef1b","blue"
"Ctss","blue"
"Ptpro","blue"
"Punc","blue"
"Sdad1","blue"
"4930405M20Rik","blue"
"Ckmt2","blue"
"A830093I24Rik","blue"
"Cd44","blue"
"Qdpr","blue"
"Rad23a","blue"
"Pgd","blue"
"AI194318","blue"
"Arhgap21","blue"
"2810446P07Rik","blue"
"Ugp2","blue"
"Resp18","blue"
"E130318E12Rik","blue"
"4933432P15Rik","blue"
"Serpina10","blue"
"Evi5","blue"
"2610036N15Rik","blue"
"Eif3s6","blue"
"5832424M12","blue"
"Art3","blue"
"Actb","blue"
"Rchy1","blue"
"Reg3a","blue"
"Nek4","blue"
"Bcl3","blue"
"Klc2","blue"
"Ube2v2","blue"
"9530011P19Rik","blue"
"Csnk2a1","blue"
"Adrbk1","blue"
"Sult1d1","blue"
"D3Jfr1","blue"
"Pes1","blue"
"Ifitm2","blue"
"Yes","blue"
"Olfr829","blue"
"Olfr206","blue"
"Rbm9","blue"
"Pcnp","blue"
"BC065120","blue"
"BC003236","blue"
"6430401A05Rik","blue"
"1700129I15Rik","blue"
"Lmo2","blue"
"1110055J05Rik","blue"
"Brd2","blue"
"Txk","blue"
"Akap12","blue"
"Slc34a2","blue"
"Itpr3","blue"
"2010003K11Rik","blue"
"2600017H08Rik","blue"
"Fsp27","blue"
"Clca2","blue"
"Ndufb3","blue"
"Tbc1d13","blue"
"Elovl5","blue"
"3000002C10Rik","blue"
"C730021L23","blue"
"Tfap4","blue"
"Vcam1","blue"
"1500005J14Rik","blue"
"Timp3","blue"
"2310079P10Rik","blue"
"V2r2","blue"
"F11","blue"
"Nola3","blue"
"Dlgap2","blue"
"4732435N03Rik","blue"
"C730031G17","blue"
"End2","blue"
"Grb7","blue"
"AI788959","blue"
"U2af1","blue"
"2900045N06Rik","blue"
"D930050H05Rik","blue"
"Apoc3","blue"
"Fcgr3","blue"
"Mybpc2","blue"
"Cxcl16","blue"
"Apg4c","blue"
"Phkb","blue"
"Gpt2","blue"
"Mdm2","blue"
"Ube4a","blue"
"Try4","blue"
"Sgpp1","blue"
"H2afx","blue"
"Asahl","blue"
"Reg4","blue"
"Nr1d2","blue"
"Retnlb","blue"
"Igfals","blue"
"Fras1","blue"
"Igfbp3","blue"
"Nut","blue"
"Ubqln1","blue"
"Postn","blue"
"4932409F11Rik","blue"
"Arl6ip2","blue"
"D19Wsu12e","blue"
"Cyp2c55","blue"
"Cyp2c65","blue"
"Gpr124","blue"
"E330023O18","blue"
"Stk10","blue"
"Heph","blue"
"Eef1a2","blue"
"1110056A04Rik","blue"
"Ptpn8","blue"
"Ppp1r2","blue"
"2310057H16Rik","blue"
"Allc","blue"
"Clic4","blue"
"Plk2","blue"
"Gatm","blue"
"4631426J05Rik","blue"
"Ier5","blue"
"Dnajc5","blue"
"2610301F02Rik","blue"
"Vav3","blue"
"A230091H23","blue"
"Zfp533","blue"
"Dspp","blue"
"Psma2","blue"
"Fntb","blue"
"Upp1","blue"
"4933434E20Rik","blue"
"Nmnat","blue"
"Defb7","blue"
"BC005662","blue"
"Furin","blue"
"Ywhaz","blue"
"Myo10","blue"
"Catns","blue"
"Cth","blue"
"Phf17","blue"
"Ugt8","blue"
"Cul2","blue"
"5730493B19Rik","blue"
"Sim1","blue"
"4732496O19Rik","blue"
"BC037034","blue"
"Snx7","blue"
"Cdh22","blue"
"Ptprs","blue"
"Atp6v1e1","blue"
"Dedd2","blue"
"Dfy","blue"
"Tpd52","blue"
"1700061G19Rik","blue"
"4432409M07Rik","blue"
"2900005J15Rik","blue"
"Ndfip2","blue"
"Eln","blue"
"2810052M02Rik","blue"
"Hrc","blue"
"Ranbp1","blue"
"Mpp1","blue"
"E030041M21Rik","blue"
"Msr1","blue"
"Ms4a6c","blue"
"Prei3","blue"
"D11Ertd759e","blue"
"BC042593","blue"
"AW209491","blue"
"Abce1","blue"
"Pigr","blue"
"Dnttip1","blue"
"Immt","blue"
"Arl3","blue"
"Lbp","blue"
"AI931714","blue"
"Lin7a","blue"
"Aox1","blue"
"Lpxn","blue"
"Gpsm3","blue"
"Asf1b","blue"
"Sox14","blue"
"Olfr571","blue"
"2310042D19Rik","blue"
"Spry2","blue"
"Syt9","blue"
"Mapk1","blue"
"Ldb3","blue"
"Iqgap1","blue"
"Sytl2","blue"
"Ncf4","blue"
"Col6a3","blue"
"Nical","blue"
"C130044A18Rik","blue"
"Fthfd","blue"
"Pitx1","blue"
"Ethe1","blue"
"Pkd1l3","blue"
"Otop1","blue"
"Plek","blue"
"Osbpl7","blue"
"Zc3hdc3","blue"
"1300019C06Rik","blue"
"Olfm1","blue"
"Cd48","blue"
"Gpihbp1","blue"
"Lxn","blue"
"Hspd1","blue"
"4931427F14Rik","blue"
"D5Bwg0860e","blue"
"Mmrn2","blue"
"Copg","blue"
"BC038286","blue"
"1700030B17Rik","blue"
"Pcyt1a","blue"
"Smpx","blue"
"D730040F13Rik","blue"
"A530050O19Rik","blue"
"Chga","blue"
"2300002O18Rik","blue"
"Slc37a2","blue"
"Foxj1","blue"
"Akr1c12","blue"
"Glul","blue"
"2610020H15Rik","blue"
"Rps6kb1","blue"
"Th","blue"
"Myl2","blue"
"Pex11a","blue"
"Zfp292","blue"
"Stab2","blue"
"1500015O10Rik","blue"
"Gstm1","blue"
"Ace2","blue"
"A130052D22","blue"
"Gprc2a","blue"
"Ucp3","blue"
"1110036H21Rik","blue"
"1600023A02Rik","blue"
"Slc26a6","blue"
"Stat3","blue"
"Ptgs1","blue"
"Vegfb","blue"
"1200002N14Rik","blue"
"Nab2","blue"
"1500032H18Rik","blue"
"BC025600","blue"
"Odz1","blue"
"4732465I17Rik","blue"
"Nfic","blue"
"Gyk","blue"
"Unc13c","blue"
"Sema6c","blue"
"M6pr","blue"
"Sp4","blue"
"Cdkn1c","blue"
"E130113K08Rik","blue"
"Tlr7","blue"
"Sart2","blue"
"AF424697","blue"
"Spata13","blue"
"Zfp423","blue"
"2600011E07Rik","blue"
"4930451A13Rik","blue"
"Mospd2","blue"
"Ehd4","blue"
"Rohn","blue"
"2610507B11Rik","blue"
"Il10ra","blue"
"Scd2","blue"
"Rapgef4","blue"
"Synpo2","blue"
"2610312B22Rik","blue"
"Sbp","blue"
"Klhl15","blue"
"5730455P16Rik","blue"
"Slc16a10","blue"
"2510042P03Rik","blue"
"2300002A13Rik","blue"
"Ly64","blue"
"Pnliprp2","blue"
"E330008O22Rik","blue"
"Slc6a6","blue"
"Orm1","blue"
"4933403M22Rik","blue"
"Lss","blue"
"Car13","blue"
"A430056A10Rik","blue"
"Scly","blue"
"Aspa","blue"
"St14","blue"
"Tapbp","blue"
"4930483I10","blue"
"Sftpc","blue"
"4930405D01Rik","blue"
"A930008A22Rik","blue"
"Atad1","blue"
"Socs1","blue"
"Phf7","blue"
"Tmod3","blue"
"Hpxn","blue"
"Saa3","blue"
"Armcx1","blue"
"Phlda3","blue"
"5430405G24Rik","blue"
"Tnfrsf21","blue"
"Rab27b","blue"
"Slc2a6","blue"
"5430413I02Rik","blue"
"Mod1","blue"
"Gpi1","blue"
"Rplp1","blue"
"Fads1","blue"
"5830482G23Rik","blue"
"Atp5f1","blue"
"1500004A08Rik","blue"
"Nek11","blue"
"BC024988","blue"
"Dsg2","blue"
"2410030K01Rik","blue"
"Rnf125","blue"
"Gm944","blue"
"Dnajc8","blue"
"Lig1","blue"
"Cxcr3","blue"
"Gpnmb","blue"
"Clic1","blue"
"9230110M18Rik","blue"
"9930020N01","blue"
"Rab8b","blue"
"SST3","blue"
"C430014D17Rik","blue"
"Ndp52l1","blue"
"2610019A05Rik","blue"
"Zdhhc6","blue"
"Sqrdl","blue"
"D16Ertd502e","blue"
"Ccnd2","blue"
"Chrm5","blue"
"Nfkbil1","blue"
"Gpsm1","blue"
"Banp","blue"
"Pak7","blue"
"4930550B20Rik","blue"
"Calr","blue"
"2310076K21Rik","blue"
"Zfhx1b","blue"
"Ect2","blue"
"1100001D10Rik","blue"
"Sh2d2a","blue"
"Atp6v1g3","blue"
"1700019P21Rik","blue"
"Ngep","blue"
"Slpi","blue"
"Pfn2","blue"
"Ptma","blue"
"A630084M22Rik","blue"
"Zbtb7","blue"
"Spp1","blue"
"Slc33a1","blue"
"Ets1","blue"
"Tdgf1","blue"
"Tnni1","blue"
"Ran","blue"
"Golph2","blue"
"BC054822","blue"
"2310061G07Rik","blue"
"Il13ra1","blue"
"BC035291","blue"
"C130073D16Rik","blue"
"C530028O21Rik","blue"
"Klf3","blue"
"Slamf9","blue"
"Cbfa2t1h","blue"
"Klf13","blue"
"Hmox1","blue"
"Nap1l3","blue"
"2210407C18Rik","blue"
"Mobkl2b","blue"
"Birc6","blue"
"Sh3bgrl3","blue"
"Cyp2c50","blue"
"Abcd2","blue"
"Ccbl1","blue"
"Osmr","blue"
"2600006K01Rik","blue"
"4921511D23Rik","blue"
"Gmfb","blue"
"Fbxo33","blue"
"Hic1","blue"
"Mia2","blue"
"4632413K17Rik","blue"
"Pabpc4","blue"
"Zfp597","blue"
"Kbtbd10","blue"
"Kcne3","blue"
"Npm3","blue"
"Uhrf1","blue"
"Ctsb","blue"
"Ptpre","blue"
"Bok","blue"
"Matn2","blue"
"BC002059","blue"
"Ybx2","blue"
"Cd14","blue"
"1110021L09Rik","blue"
"Bmi1","blue"
"Ddx18","blue"
"Gna13","blue"
"9030622O22Rik","blue"
"Tnni2","blue"
"Golga7","blue"
"Moap1","blue"
"Mlze","blue"
"A230035L05Rik","blue"
"Nfia","blue"
"Idh1","blue"
"Gfra1","blue"
"Crebbp","blue"
"Trip13","blue"
"A230046K03Rik","blue"
"ORF9","blue"
"2010200I23Rik","blue"
"4931406C07Rik","blue"
"Tcea1","blue"
"Map4k4","blue"
"2700099C18Rik","blue"
"Tor1b","blue"
"4631422O05Rik","blue"
"Tff2","blue"
"4631416L12Rik","blue"
"Olfr1018","blue"
"Grina","blue"
"1110005L13Rik","blue"
"Bcl2a1c","blue"
"4632434I11Rik","blue"
"Mlf2","blue"
"2010001C14Rik","blue"
"Krt2-6g","blue"
"Aacs","blue"
"Slc15a3","blue"
"D8Ertd233e","blue"
"1810018L02Rik","blue"
"Bcl11b","blue"
"Gopc","blue"
"AF119384","blue"
"Emr4","blue"
"Nid2","blue"
"1600015H20Rik","blue"
"Slc35a4","blue"
"Ghitm","blue"
"Reln","blue"
"2010321J07Rik","blue"
"Egfr","blue"
"AW121567","blue"
"Scara3","blue"
"Kifc2","blue"
"Zfp395","blue"
"Trpv2","blue"
"Ncoa6ip","blue"
"CRAD-L","blue"
"Snrk","blue"
"Rnf111","blue"
"2610509H23Rik","blue"
"2810404F18Rik","blue"
"Clybl","blue"
"2510004L01Rik","blue"
"Trdn","blue"
"Tcn2","blue"
"Slc5a11","blue"
"Inpp5d","blue"
"Nkd1","blue"
"D10Jhu81e","blue"
"Upa","blue"
"Ttl","blue"
"Mmp12","blue"
"D11Ertd172e","blue"
"Semcap2","blue"
"Chgb","blue"
"Gulo","blue"
"V1re5","blue"
"Ak1","blue"
"1810048P08Rik","blue"
"Kcnk13","blue"
"1300010M03Rik","blue"
"Gpc6","blue"
"9530008L14Rik","blue"
"Csnk1e","blue"
"Il1f6","blue"
"Pgam2","blue"
"Rgs5","blue"
"2310001H12Rik","blue"
"Mll","blue"
"Tpm1","blue"
"Chml","blue"
"Olfr616","blue"
"Kif5b","blue"
"Syt13","blue"
"E130314M08Rik","blue"
"BC033606","blue"
"D330037A14Rik","blue"
"Proz","blue"
"Tff1","blue"
"4930429M06Rik","blue"
"4932407I05","blue"
"Lama4","blue"
"Cuzd1","blue"
"Qscn6","blue"
"Shcbp1","blue"
"Psmb9","blue"
"Pld3","blue"
"Copg2","blue"
"Pole4","blue"
"Stk17b","blue"
"4733401N12Rik","blue"
"Hk2","blue"
"Ncbp2","blue"
"S100a11","blue"
"Gmfg","blue"
"2310069P03Rik","blue"
"Polydom","blue"
"Armcx2","blue"
"AW555464","blue"
"Olig2","blue"
"Glg1","blue"
"Mnda","blue"
"Thrsp","blue"
"Nalp6","blue"
"AI132321","blue"
"5430425C04Rik","blue"
"Sectm1","blue"
"Ppp1cb","blue"
"Pde4b","blue"
"Abcg3","blue"
"Oxct1","blue"
"Nnmt","blue"
"Tk1","blue"
"1810007P19Rik","blue"
"6530403A03Rik","blue"
"Dhcr7","blue"
"Daf1","blue"
"Pten","blue"
"Tacstd1","blue"
"1810054O13Rik","blue"
"Papss1","blue"
"2900010J23Rik","blue"
"Bri3bp","blue"
"C430010P07Rik","blue"
"LOC224833","blue"
"Afmid","blue"
"2610311I19Rik","blue"
"Anxa3","blue"
"Antxr1","blue"
"2210008M09Rik","blue"
"Pcnxl3","blue"
"8030476J24","blue"
"Hoxa10","blue"
"5730427C23Rik","blue"
"Rfx1","blue"
"4930520C08Rik","blue"
"6330500A18Rik","blue"
"1700007H16Rik","blue"
"Synpo","blue"
"Mtss1","blue"
"Slc25a1","blue"
"Adcy1","blue"
"Sox11","blue"
"Dp1l1","blue"
"Edn1","blue"
"A430075L18Rik","blue"
"Mt4","blue"
"Abca1","blue"
"Padi2","blue"
"Zfp294","blue"
"Olfr1226","blue"
"Myl1","blue"
"Mrc1","blue"
"Rcl1","blue"
"Ccr4","blue"
"Dhx37","blue"
"Ptprb","blue"
"Mvd","blue"
"D4Ertd421e","blue"
"B230380D07Rik","blue"
"Defb5","blue"
"1190003M12Rik","blue"
"4921508O11Rik","blue"
"Slc13a3","blue"
"4930420O11Rik","blue"
"Casp4","blue"
"BC038881","blue"
"Cd5l","blue"
"E430034L04Rik","blue"
"Csf1r","blue"
"1810033A06Rik","blue"
"Ppara","blue"
"Siglec5","blue"
"Map4k6","blue"
"Csf2ra","blue"
"Sgk","blue"
"Bach1","blue"
"Utx","blue"
"Ches1","blue"
"5830445C04Rik","blue"
"Bzw1","blue"
"Slc22a7","blue"
"Hnrpl","blue"
"4833414E09Rik","blue"
"Gnmt","blue"
"Helz","blue"
"Arhgdib","blue"
"Rerg","blue"
"Bmp2k","blue"
"1110039C07Rik","blue"
"5430407P10Rik","blue"
"Rab19","blue"
"Pola1","blue"
"4833435D08Rik","blue"
"Serpina3n","blue"
"2610034N03Rik","blue"
"Slc37a4","blue"
"Tax1bp3","blue"
"Stk6","blue"
"Apg4a","blue"
"Marcks","blue"
"Entpd1","blue"
"Rrm1","blue"
"Notch1","blue"
"Enpep","blue"
"Etnk2","blue"
"Pepp3","blue"
"Crk","blue"
"Ms4a6d","blue"
"BC004701","blue"
"Hnmt","blue"
"Tslpr","blue"
"Klrd1","blue"
"Retnla","blue"
"Pole2","blue"
"9030611N15Rik","blue"
"Rap2b","blue"
"Smad5","blue"
"9430093N24Rik","blue"
"Daam2","blue"
"Cxcl1","blue"
"Mtf2","blue"
"Ephx1","blue"
"2810455K09Rik","blue"
"Nf2","blue"
"AA960558","blue"
"Pla2g1b","blue"
"Tpcn2","blue"
"Bves","blue"
"Atp5c1","blue"
"BC019977","blue"
"BC026585","blue"
"Trfr2","blue"
"Defb1","blue"
"Hoxc5","blue"
"Serpinb6b","blue"
"Bicc1","blue"
"Spnb2","blue"
"2310016C16Rik","blue"
"Klf15","blue"
"1810008K16Rik","blue"
"Gbp3","blue"
"Anxa5","blue"
"Ube2d3","blue"
"Clecsf6","blue"
"Ccl4","blue"
"Tekt1","blue"
"Mrpl45","blue"
"Smpdl3a","blue"
"D530020C15Rik","blue"
"Hrmt1l2","blue"
"Asb5","blue"
"Igsf6","blue"
"Ftsj3","blue"
"Pcyt2","blue"
"2610034E13Rik","blue"
"Rhbdl","blue"
"Unc93b","blue"
"Zfp51","blue"
"Aldh3b1","blue"
"2610036F08Rik","blue"
"Dok4","blue"
"4930432O21Rik","blue"
"Vps4a","blue"
"Ift172","blue"
"Ddx27","blue"
"6330409N04Rik","blue"
"BC011209","blue"
"Guca2b","blue"
"Oas2","blue"
"Trim12","blue"
"Dnaic1","blue"
"2410014A08Rik","blue"
"Dsg1a","blue"
"C230096C10Rik","blue"
"1700063K16Rik","blue"
"BC023892","blue"
"Tp53i11","blue"
"C820005L12Rik","blue"
"Ucn3","blue"
"Zfp40","blue"
"Map3k8","blue"
"Mphosph1","blue"
"BC067047","blue"
"C730007L20Rik","blue"
"Tomm7","blue"
"Abcg4","blue"
"Smc1l2","blue"
"Map17","blue"
"Cml2","blue"
"Gtf2h1","blue"
"Pdcd6ip","blue"
"Ccnb2","blue"
"ORF28","blue"
"Gtf2a1","blue"
"1810044O22Rik","blue"
"Rtn4","blue"
"Rgs6","blue"
"Hoxd11","blue"
"9130214H05Rik","blue"
"A930025J12Rik","blue"
"Spink4","blue"
"5430416O09Rik","blue"
"Olfr837","blue"
"Pole","blue"
"Hcn4","blue"
"Tm4sf3","blue"
"Ilf2","blue"
"Cysltr1","blue"
"Map3k5","blue"
"Lgals1","blue"
"Ccl3","blue"
"Hk1","blue"
"Sc4mol","blue"
"Spred2","blue"
"Rcn","blue"
"Usp31","blue"
"Fbxo14","blue"
"Cyp39a1","blue"
"Ehd3","blue"
"Fscn1","blue"
"Cab39","blue"
"Msh4","blue"
"A530024P18Rik","blue"
"Retn","blue"
"Lypla2","blue"
"Pgk1","blue"
"1810008K03Rik","blue"
"Ppy","blue"
"Pilra","blue"
"Ralb","blue"
"Pcoln3","blue"
"Tcf7l2","blue"
"Ctsk","blue"
"Stch","blue"
"5031414D18Rik","blue"
"Dmp1","blue"
"Gdf3","blue"
"Olfm3","blue"
"Hpgd","blue"
"Large","blue"
"Lgtn","blue"
"Arih2","blue"
"4930412F15Rik","blue"
"AI450540","blue"
"Eaf2","blue"
"Chtf18","blue"
"9030625G08Rik","blue"
"Gucy1a3","blue"
"Plxnd1","blue"
"Slc2a9","blue"
"Pdgfa","blue"
"Usmg4","blue"
"Cyba","blue"
"Egln1","blue"
"Fgb","blue"
"Gstm6","blue"
"C630011I23","blue"
"9130009C22Rik","blue"
"Psmd14","blue"
"3110045G13Rik","blue"
"Ear6","blue"
"Chst7","blue"
"Cd244","blue"
"9630054F20Rik","blue"
"Ndufa5","blue"
"Rhbdf1","blue"
"BC029169","blue"
"Ttr","blue"
"2210404O07Rik","blue"
"Ciz1","blue"
"9130017A15Rik","blue"
"Capn1","blue"
"4930430E16Rik","blue"
"Ube2g1","blue"
"Wdr10","blue"
"Car9","blue"
"9330129D05Rik","blue"
"Gnb3","blue"
"Gcg","blue"
"1110032E23Rik","blue"
"2610016F04Rik","blue"
"Mgea6","blue"
"Osbpl3","blue"
"1300007F04Rik","blue"
"Zan","blue"
"Lcat","blue"
"Slc43a1","blue"
"Anln","blue"
"Echdc1","blue"
"Dll4","blue"
"Fabp4","blue"
"2810438M17Rik","blue"
"9430059P22Rik","blue"
"Hlx","blue"
"Ppm1f","blue"
"Tceal1","blue"
"D430042O09Rik","blue"
"Arhgap18","blue"
"Pin4","blue"
"2510049J12Rik","blue"
"Ccl6","blue"
"Lama2","blue"
"Rragd","blue"
"Jam3","blue"
"2610208E05Rik","blue"
"Scarb1","blue"
"Asc","blue"
"Cpb2","blue"
"4833423E24Rik","blue"
"Olfr167","blue"
"Ywhah","blue"
"Krt2-4","blue"
"AI481100","blue"
"Adnp","blue"
"Cacna2d1","blue"
"Nfix","blue"
"Flt4","blue"
"Fath","blue"
"Ceacam1","blue"
"Cox6a2","blue"
"Ntf3","blue"
"A630077B13Rik","blue"
"Epb4.1l3","blue"
"B3bp","blue"
"Itgb1bp3","blue"
"9130227C08Rik","blue"
"Tfpi2","blue"
"Cox7c","blue"
"Rptn","blue"
"Rnase4","blue"
"5730453H04Rik","blue"
"Olfr136","blue"
"BC004056","blue"
"Trf3","blue"
"Bak1","blue"
"AI450713","blue"
"Snrpg","blue"
"Hc","blue"
"4930401A09Rik","blue"
"Cdk5rap2","blue"
"Slc8a1","blue"
"Pdcd1lg1","blue"
"AI428795","blue"
"2510038N07Rik","blue"
"Mesp1","blue"
"Foxo1","blue"
"A930014I12Rik","blue"
"1110028A07Rik","blue"
"BC036313","blue"
"6720480D16Rik","blue"
"Mcm2","blue"
"ank","blue"
"Pap","blue"
"Agxt","blue"
"Gnai2","blue"
"4931417E11Rik","blue"
"A930033C01Rik","blue"
"Flt1","blue"
"Ggh","blue"
"Adamts4","blue"
"Lsm3","blue"
"Klra5","blue"
"Ddx3x","blue"
"D8Wsu49e","blue"
"Krt1-2","blue"
"Fus","blue"
"Ugcg","blue"
"Npc1","blue"
"Qk","blue"
"Ang1","blue"
"Gpr105","blue"
"Cox7a1","blue"
"Cenpe","blue"
"Actn3","blue"
"Laptm5","blue"
"Olfr135","blue"
"Nedd9","blue"
"Rcn3","blue"
"Ins2","blue"
"2410025L10Rik","blue"
"Ankrd23","blue"
"Itgax","blue"
"Ednrb","blue"
"Vim","blue"
"Rps29","blue"
"D630042P16Rik","blue"
"1700011F14Rik","blue"
"Gt(ROSA)26Sor","blue"
"Mylip","blue"
"C630007L23Rik","blue"
"Slc25a22","blue"
"1200009O22Rik","blue"
"Cacna1s","blue"
"Cd34","blue"
"Eif4a2","blue"
"Tcfec","blue"
"Aicda","blue"
"D16H22S680E","blue"
"Ehhadh","blue"
"Fbn1","blue"
"Cdc42ep3","blue"
"Nalp9c","blue"
"Kng2","blue"
"Prp19","blue"
"Zfp216","blue"
"Psmd8","blue"
"4732415M23Rik","blue"
"Card10","blue"
"Agpat2","blue"
"4930583C14Rik","blue"
"Gp2","blue"
"4921531G14Rik","blue"
"Cyp2b9","blue"
"F630045L20Rik","blue"
"Igfbp4","blue"
"2610204L23Rik","blue"
"Acta1","blue"
"Slco3a1","blue"
"2310057J18Rik","blue"
"BC025462","blue"
"Serpinb9e","blue"
"Stat6","blue"
"AW047325","blue"
"Casp1","blue"
"Cdca1","blue"
"6430548M08Rik","blue"
"Olfr1450","blue"
"Ccl22","blue"
"Anpep","blue"
"Mtnr1a","blue"
"Mbnl2","blue"
"Trp53inp1","blue"
"Mox2r","blue"
"Fgl1","blue"
"4832426G23Rik","blue"
"Mmp10","blue"
"Myef2","blue"
"C430014M02Rik","blue"
"1700003H21Rik","blue"
"AMACO","blue"
"Enah","blue"
"Jmy","blue"
"Cyp3a41","blue"
"1810013B01Rik","blue"
"Tm7sf1","blue"
"Smc2l1","blue"
"AW146242","blue"
"Cav2","blue"
"Glp2r","blue"
"Prdc","blue"
"Ralgps1","blue"
"D15Ertd405e","blue"
"Fetub","blue"
"Stk39","blue"
"Fabp3","blue"
"D19Ertd652e","blue"
"Ap2a2","blue"
"Tkt","blue"
"Apob","blue"
"Kctd11","blue"
"Emcn","blue"
"Irf7","blue"
"Tsc2","blue"
"Serpinf2","blue"
"Znrd1","blue"
"Pdgfra","blue"
"2700017A04Rik","blue"
"Cml1","blue"
"Camp","blue"
"Cox10","blue"
"Pitpnm2","blue"
"Snf1lk","blue"
"Clca3","blue"
"Ysg2","blue"
"Ddah2","blue"
"Igf2bp3","blue"
"Sec8l1","blue"
"Madd","blue"
"Prlr","blue"
"LOC239447","blue"
"Mut","blue"
"AI842396","blue"
"0610010O12Rik","blue"
"Anxa2","blue"
"Lor","blue"
"Itln","blue"
"D11Wsu68e","blue"
"Mlp","blue"
"Nrg1","blue"
"Acacb","blue"
"Tgfbr2","blue"
"Ccnb1","blue"
"3830408P04Rik","blue"
"Serpinb11","blue"
"E030030I06Rik","blue"
"Tm4sf11","blue"
"Tnrc15","blue"
"Pcsk9","blue"
"Ireb2","blue"
"Rpo1-4","blue"
"Rhobtb1","blue"
"Tes3","blue"
"Agt","blue"
"Slco2b1","blue"
"Fgf6","blue"
"Entpd5","blue"
"Oit3","blue"
"Sds","blue"
"1110014F24Rik","blue"
"P4ha1","blue"
"Samsn1","blue"
"Eif3s10","blue"
"Btbd1","blue"
"Zfp369","blue"
"Fcgr1","blue"
"Wbp2","blue"
"Mcm6","blue"
"Cd63","blue"
"9130003O20Rik","blue"
"4933428D01Rik","blue"
"BC003277","blue"
"Nck1","blue"
"Niban","blue"
"C630028N24Rik","blue"
"B4galt1","blue"
"Dbi","blue"
"AI987662","blue"
"1700001K19Rik","blue"
"BC034753","blue"
"H1f0","blue"
"Gm1382","blue"
"Fbln5","blue"
"Kirrel2","blue"
"Bicd2","blue"
"Ung","blue"
"Pipox","blue"
"Agc1","blue"
"3110050N22Rik","blue"
"2310028N02Rik","blue"
"Acyp2","blue"
"4930543E12Rik","blue"
"2310036D22Rik","blue"
"4930568P13Rik","blue"
"BC016423","blue"
"1700025B16Rik","blue"
"Oasl1","blue"
"Phca","blue"
"Hoxc12","blue"
"Tnnc2","blue"
"Acat2","blue"
"Mlr1","blue"
"Arhgap15","blue"
"Kynu","blue"
"Hs6st3","blue"
"Calmbp1","blue"
"Acyp1","blue"
"Slc43a3","blue"
"Traf1","blue"
"Pon2","blue"
"Dck","blue"
"Fgl2","blue"
"AI604832","blue"
"2810407C02Rik","blue"
"Zfp606","blue"
"2810040O04Rik","blue"
"C330008I15Rik","blue"
"2010106E10Rik","blue"
"Tbl1x","blue"
"Irf1","blue"
"Icam2","blue"
"Pabpc1","blue"
